,gamma,max_depth,eta,min_child_weight,auc,logloss
0,20,2,0.01,0.01,0.7038222,0.5844590000000001
1,20,2,0.01,0.41000000000000003,0.7038222,0.5844590000000001
2,20,2,0.01,0.81,0.7038222,0.5844590000000001
3,20,2,0.41000000000000003,0.01,0.7401949999999999,0.47718340000000004
4,20,2,0.41000000000000003,0.41000000000000003,0.7401949999999999,0.47718340000000004
5,20,2,0.41000000000000003,0.81,0.7401949999999999,0.47718340000000004
6,20,2,0.81,0.01,0.7394704,0.4778734
7,20,2,0.81,0.41000000000000003,0.7394704,0.4778734
8,20,2,0.81,0.81,0.7392988,0.47784180000000004
9,20,5,0.01,0.01,0.7366582,0.5722998
10,20,5,0.01,0.41000000000000003,0.7366582,0.5722998
11,20,5,0.01,0.81,0.7366582,0.5722998
12,20,5,0.41000000000000003,0.01,0.7476588,0.47246299999999997
13,20,5,0.41000000000000003,0.41000000000000003,0.7476588,0.47246299999999997
14,20,5,0.41000000000000003,0.81,0.7476588,0.47246299999999997
15,20,5,0.81,0.01,0.7426197999999999,0.47536819999999996
16,20,5,0.81,0.41000000000000003,0.7426197999999999,0.47536819999999996
17,20,5,0.81,0.81,0.7426197999999999,0.47536819999999996
18,20,8,0.01,0.01,0.7407998,0.5706013999999999
19,20,8,0.01,0.41000000000000003,0.7407998,0.5706013999999999
20,20,8,0.01,0.81,0.7407998,0.5706013999999999
21,20,8,0.41000000000000003,0.01,0.7484482,0.47178699999999996
22,20,8,0.41000000000000003,0.41000000000000003,0.7484482,0.47178699999999996
23,20,8,0.41000000000000003,0.81,0.7484491999999999,0.47178620000000004
24,20,8,0.81,0.01,0.7451082,0.47390560000000004
25,20,8,0.81,0.41000000000000003,0.7451082,0.47390560000000004
26,20,8,0.81,0.81,0.7451082,0.47390560000000004
27,20,11,0.01,0.01,0.7408597999999998,0.5705593999999999
28,20,11,0.01,0.41000000000000003,0.7408597999999998,0.5705593999999999
29,20,11,0.01,0.81,0.7408597999999998,0.5705593999999999
30,20,11,0.41000000000000003,0.01,0.748116,0.4720428
31,20,11,0.41000000000000003,0.41000000000000003,0.748116,0.4720428
32,20,11,0.41000000000000003,0.81,0.7478774,0.47213000000000005
33,20,11,0.81,0.01,0.7430614,0.47528380000000003
34,20,11,0.81,0.41000000000000003,0.7430614,0.47528380000000003
35,20,11,0.81,0.81,0.7430614,0.47528380000000003
36,18,2,0.01,0.01,0.7038222,0.5844590000000001
37,18,2,0.01,0.41000000000000003,0.7038222,0.5844590000000001
38,18,2,0.01,0.81,0.7038222,0.5844590000000001
39,18,2,0.41000000000000003,0.01,0.7410658000000001,0.4766176
40,18,2,0.41000000000000003,0.41000000000000003,0.7410658000000001,0.4766176
41,18,2,0.41000000000000003,0.81,0.7410658000000001,0.4766176
42,18,2,0.81,0.01,0.739996,0.47764740000000006
43,18,2,0.81,0.41000000000000003,0.739996,0.47764740000000006
44,18,2,0.81,0.81,0.739652,0.4777068
45,18,5,0.01,0.01,0.7369522000000001,0.5722458
46,18,5,0.01,0.41000000000000003,0.7369522000000001,0.5722458
47,18,5,0.01,0.81,0.7369522000000001,0.5722458
48,18,5,0.41000000000000003,0.01,0.7475837999999999,0.4724772
49,18,5,0.41000000000000003,0.41000000000000003,0.7475837999999999,0.4724772
50,18,5,0.41000000000000003,0.81,0.7475837999999999,0.4724772
51,18,5,0.81,0.01,0.7438496,0.47456139999999997
52,18,5,0.81,0.41000000000000003,0.7438496,0.47456139999999997
53,18,5,0.81,0.81,0.7438496,0.47456139999999997
54,18,8,0.01,0.01,0.7413234,0.5703512
55,18,8,0.01,0.41000000000000003,0.7413234,0.5703512
56,18,8,0.01,0.81,0.7413234,0.5703512
57,18,8,0.41000000000000003,0.01,0.7479821999999999,0.4720014
58,18,8,0.41000000000000003,0.41000000000000003,0.7479821999999999,0.4720014
59,18,8,0.41000000000000003,0.81,0.7488796000000001,0.4714796
60,18,8,0.81,0.01,0.7437242,0.47503219999999996
61,18,8,0.81,0.41000000000000003,0.7435434,0.4751899999999999
62,18,8,0.81,0.81,0.7435434,0.4751899999999999
63,18,11,0.01,0.01,0.7413564000000001,0.5703073999999999
64,18,11,0.01,0.41000000000000003,0.7413564000000001,0.5703073999999999
65,18,11,0.01,0.81,0.7413564000000001,0.5703073999999999
66,18,11,0.41000000000000003,0.01,0.7479028,0.4719404
67,18,11,0.41000000000000003,0.41000000000000003,0.7479052,0.47199279999999993
68,18,11,0.41000000000000003,0.81,0.7478938000000002,0.472004
69,18,11,0.81,0.01,0.7434301999999999,0.475366
70,18,11,0.81,0.41000000000000003,0.7434301999999999,0.475366
71,18,11,0.81,0.81,0.743538,0.47541200000000006
72,16,2,0.01,0.01,0.7038222,0.5844590000000001
73,16,2,0.01,0.41000000000000003,0.7038222,0.5844590000000001
74,16,2,0.01,0.81,0.7038222,0.5844590000000001
75,16,2,0.41000000000000003,0.01,0.7413606,0.47643479999999994
76,16,2,0.41000000000000003,0.41000000000000003,0.7413606,0.47643479999999994
77,16,2,0.41000000000000003,0.81,0.7413606,0.47643479999999994
78,16,2,0.81,0.01,0.7402362,0.47745440000000006
79,16,2,0.81,0.41000000000000003,0.7402362,0.47745440000000006
80,16,2,0.81,0.81,0.7402736,0.47732860000000005
81,16,5,0.01,0.01,0.7370832,0.5721784
82,16,5,0.01,0.41000000000000003,0.7370832,0.5721784
83,16,5,0.01,0.81,0.7370832,0.5721784
84,16,5,0.41000000000000003,0.01,0.7475448000000001,0.4724584
85,16,5,0.41000000000000003,0.41000000000000003,0.7475448000000001,0.4724584
86,16,5,0.41000000000000003,0.81,0.7475448000000001,0.4724584
87,16,5,0.81,0.01,0.7452857999999999,0.47397100000000003
88,16,5,0.81,0.41000000000000003,0.7452857999999999,0.47397100000000003
89,16,5,0.81,0.81,0.7452857999999999,0.47397100000000003
90,16,8,0.01,0.01,0.7416642,0.5701256
91,16,8,0.01,0.41000000000000003,0.7416642,0.5701256
92,16,8,0.01,0.81,0.7416642,0.5701256
93,16,8,0.41000000000000003,0.01,0.7486744,0.4716159999999999
94,16,8,0.41000000000000003,0.41000000000000003,0.7486744,0.4716159999999999
95,16,8,0.41000000000000003,0.81,0.749039,0.47142239999999996
96,16,8,0.81,0.01,0.7433462,0.47550220000000004
97,16,8,0.81,0.41000000000000003,0.7433462,0.47550220000000004
98,16,8,0.81,0.81,0.7433462,0.47550220000000004
99,16,11,0.01,0.01,0.7416446000000001,0.5700603999999999
100,16,11,0.01,0.41000000000000003,0.7416446000000001,0.5700603999999999
101,16,11,0.01,0.81,0.7416446000000001,0.5700603999999999
102,16,11,0.41000000000000003,0.01,0.7476990000000001,0.47218340000000003
103,16,11,0.41000000000000003,0.41000000000000003,0.7474722,0.4722094
104,16,11,0.41000000000000003,0.81,0.7473812000000001,0.47220699999999993
105,16,11,0.81,0.01,0.7416104,0.4766578
106,16,11,0.81,0.41000000000000003,0.7416104,0.4766578
107,16,11,0.81,0.81,0.741671,0.476656
108,14,2,0.01,0.01,0.7038222,0.5844590000000001
109,14,2,0.01,0.41000000000000003,0.7038222,0.5844590000000001
110,14,2,0.01,0.81,0.7038222,0.5844590000000001
111,14,2,0.41000000000000003,0.01,0.742089,0.47591399999999995
112,14,2,0.41000000000000003,0.41000000000000003,0.742089,0.47591399999999995
113,14,2,0.41000000000000003,0.81,0.742089,0.47591399999999995
114,14,2,0.81,0.01,0.7409632,0.4769552000000001
115,14,2,0.81,0.41000000000000003,0.7409632,0.4769552000000001
116,14,2,0.81,0.81,0.7411288,0.47690200000000005
117,14,5,0.01,0.01,0.7371554,0.5721544
118,14,5,0.01,0.41000000000000003,0.7371554,0.5721544
119,14,5,0.01,0.81,0.7371554,0.5721544
120,14,5,0.41000000000000003,0.01,0.748147,0.4720682
121,14,5,0.41000000000000003,0.41000000000000003,0.74814,0.4720852000000001
